productName,description,imageLink,price,rating,merchantName
"""New iPhone 13 128 / 256 / 512 Starlight, Midnight, Blue, Pink, Red""",,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/ef256cbb-9a84-4086-95d0-5e2a80e13cfc.jpg?ect=4g,Rp15.799.000,4.8,tokohapedia
iPhone 13 128GB 256GB 512GB Starlight Midnight Pink Blue Red 5G IBOX,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/40f4734e-e5a0-4163-914d-bb37874474e3.jpg?ect=4g,Rp15.799.000,5.0,Putra Group
iPhone 13 Pro Max 128GB 256GB 512GB 1TB ProMax 13 Dual Sim Nano IBOX,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/b5c8f829-6017-4ac0-ad10-813364196cf8.jpg?ect=4g,Rp22.355.000,5.0,Digital Authorized
Xiaomi Redmi Note 10S 8/128GB Garansi Resmi,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/14/a0bc43f7-a720-4b1d-9212-e590cfc823c3.jpg?ect=4g,Rp2.615.000,5.0,Adiwerna DevStore
Samsung Galaxy A52 RAM 8 128GB Fullset Like New,,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/28/853b6320-9c52-4bea-bf3e-6f5cfb27aa38.jpg?ect=4g,Rp3.890.000,4.6,Sinar Citangkill
Samsung Galaxy A32 8/128 GB Garansi Resmi SEIN,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: HP Samsung Resmi Katalog: Samsung Galaxy A32,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/20/ba678172-6c10-4654-8e7d-6ceeb4ee70c3.jpg?ect=4g,Rp3.599.000,4.9,Gudang-HP
Realme C11 Garansi Resmi,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: Realme,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/27/9d249ace-09dc-412d-acc8-5cf5484fa144.jpg?ect=4g,Rp1.265.000,4.9,Evogad Official
"""Vivo X60 6.56 Inch Display, Snapdragon 870,4300 mAh Battery""",Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: VIVO,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/20/db0a8b18-1415-4e8f-b6f5-5e63d925e3a7.jpg?ect=4g,Rp6.415.000,4.9,Evogad Official
SAMSUNG GALAXY A22 [ 6/128GB ] - GARANSI RESMI,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: SAMSUNG Katalog: Samsung Galaxy A22,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/22/9c407167-1c2c-45a2-a925-0e4f725d9ba2.png?ect=4g,Rp2.799.000,4.9,Wahana Selular
"""Realme C20 [5000 mAh, 6.5"""" Large Display, Helio G35 Gaming Processor]""",Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: REALME,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/18/81af7118-53f8-4156-84ca-2583b92bc579.jpg?ect=4g,Rp1.335.000,4.9,Ceria Ponsel Official
Xiaomi Poco X3 Pro 8/256GB 6/128GB Garansi resmi 8 GB 256 GB 6 GB 128,Kondisi: Baru Berat: 500 Gram Kategori: Android OS Etalase: XIAOMI Katalog: Xiaomi Poco X3,"""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHgAAAB4CAQAAACTbf5ZAAAAiklEQVR42u3PMQEAAAwCoNm/9Cr4Cw3IjYmwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsHDrASUpAHnJhbktAAAAAElFTkSuQmCC""",Rp3.425.000,4.7,Distributor Ponsel
